No.,Title,Synopsis,Action,War,Adventure,Comedy,Drama,Romance,Sci-Fi,Fantasy,Horror,Mystery,Crime,Animation,Documentary,Rate
30,The Revenant (2015),A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,7.9,0,8.8,0,6.8,0,0,0,0,0,0,0,0,8
31,127 Hours (2010),"A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.",0,0,6.5,0,8.9,0,0,0,0,0,0,0,0,7.6
32,Mission: Impossible (1996),"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",9.8,0,8.6,0,0,0,0,0,0,0,5.7,0,0,7.1
33,Life of Pi (2012),"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",0,0,9.7,0,7.8,0,0,5.7,0,0,0,0,0,7.9
34,The School for Good and Evil (2022),Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.,10,0,0,7,10,0,0,0,0,0,0,0,0,5.9
35,Knives Out (2019),"A detective investigates the death of the patriarch of an eccentric, combative family.",0,0,0,8,10,0,0,0,0,0,10,0,0,7.9
36,Do Revenge (2022),Drea and Eleanor agree to go after one another's bullies,0,0,0,10,9,0,0,0,0,0,0,0,0,6.3
37,Deadpool (2016),"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",7,0,7.2,8.2,0,0,0,0,0,0,0,0,0,8
38,"Good Luck to You, Leo Grande (2022)","Nancy Stokes, a retired school teacher, is yearning for some adventure, and some sex. And she has a plan, which involves hiring a young sex worker named Leo Grande.",0,0,0,8.1,7.7,0,0,0,0,0,0,0,0,7.2
39,Deadpool 2 (2018),"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",7.2,0,7.7,8.4,0,0,0,0,0,0,0,0,0,7.7
40,Encanto (2021),A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,0,0,0,6.4,0,0,0,0,0,0,0,8.5,0,7.2
