No.,Title,Synopsis,Action,War,Adventure,Comedy,Drama,Romance,Sci-Fi,Fantasy,Horror,Mystery,Crime,Animation,Documentary,Rate
133,Lapta Fan Thueng Chue Thoe (2016),"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",0,0,0,0,8.8,0,0,7.5,0,0,0,7.9,0,8.4
134,Zootopia (2016),"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",0,0,7.1,8.1,0,0,0,0,0,0,0,8.7,0,8
135,"Monsters, Inc. (2001)","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",0,0,8.5,7.7,0,0,0,0,0,0,0,8,0,8.1
136,Finding Nemo (2003),"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",0,0,8.6,8,0,0,0,0,0,0,0,7.6,0,8.2
137,Thirteen Lives,A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.,0,0,8,0,9,0,0,0,2,7,0,0,10,7.8
138,"2,215","A documentary based on true story of thai singer named ""Artiwara Kongmalai"", who dedicates himself to long-running from Betong, Yala district, South of Thailand to Mae sai, Chiang Rai, North of Thailand. It takes 2 215 kilometres which is documentary's name and 55 days from the first november 2017 to the end. He tries to collect money devoted by Thailand's people as much as possible in order to help several hospitals to import medicals equipments needed, which is the purpose of this long-running event.",3,0,6,0,9,2,0,0,0,0,0,0,10,7.7
139,3096 tage,A young Austrian girl is kidnapped and held in captivity for eight years. Based on the factual case of Natascha Kampusch.,5,0,0,0,9,0,0,0,0,0,8,0,10,6.5
140,Khan kluay,"A young elephant goes on an extraordinary adventure and learns important lessons along the way about friendship, love and courage.",0,0,8.4,0,0,0,0,0,0,0,0,10,0,5.6
141,Dahmer (2002),"Biopic about notorious American serial killer Jeffrey Dahmer, taking place in both the past and the present.",0,0,0,0,9,0,0,0,0,0,0,10,10,5.6
142,Aquaman (2018),"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",0,0,0,0,0,0,0,0,0,0,0,0,0,6.8
143,Thor: Ragnarok (2017),"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",7.6,0,7.8,8.5,0,0,0,0,0,0,0,0,0,7.9
144,Moana (I) (2016),"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",0,0,8,7.2,0,0,0,0,0,0,0,8.5,0,7.6
145,Frozen (I) (2013),"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",0,0,8.2,7.7,0,0,0,0,0,0,0,0,0,7.4
146,Kingsman: The Secret Service (2014),"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",7.3,0,8,6.7,0,0,0,0,0,0,0,0,0,7.7
147,Shrek (2001),"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",0,0,7.9,7.1,0,0,0,0,0,0,0,8.4,0,7.9
148,Modi Ji Ki Beti (2022),"When two stupid terrorist, trying to prove their capability, believing on the fake news of a presence of Prime Minister daughter, kidnaps her, they are faced with a series of comical challenges to send her back to the country.",0,0,0,8.5,7.2,0,0,0,0,0,0,0,0,8.2
149,Despicable Me (2010),"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",0,0,7.2,8,0,0,0,0,0,0,0,8.1,0,7.6
150,Sonic the Hedgehog (2020),"After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.",7,0,6.5,7.2,0,0,0,0,0,0,0,0,0,6.5
151,Black Panther: Wakanda Forever (2022),"The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.",7.2,9.1,8.7,7.2,0,0,7.9,8.6,0,0,0,0,0,7.3
